Feature,Coefficient,Absolute Coefficient
Type of Travel = Personal Travel,-1.6770,1.6770
Customer Type = disloyal Customer,-1.3363,1.3363
Type of Travel = Business travel,1.0403,1.0403
Online boarding,0.8258,0.8258
Customer Type = Loyal Customer,0.6996,0.6996
Class = Eco Plus,-0.5391,0.5391
Inflight wifi service,0.5239,0.5239
Class = Eco,-0.4185,0.4185
Checkin service,0.4100,0.4100
On-board service,0.3883,0.3883
Gender = Female,-0.3389,0.3389
Arrival Delay in Minutes,-0.3362,0.3362
Leg room service,0.3326,0.3326
Class = Business,0.3208,0.3208
Gender = Male,-0.2978,0.2978
Cleanliness,0.2902,0.2902
Ease of Online booking,-0.1996,0.1996
Departure/Arrival time convenient,-0.1905,0.1905
Baggage handling,0.1576,0.1576
Departure Delay in Minutes,0.1536,0.1536
Inflight service,0.1403,0.1403
Age,-0.1261,0.1261
Seat comfort,0.0898,0.0898
Inflight entertainment,0.0890,0.0890
Food and drink,-0.0384,0.0384
Gate location,0.0371,0.0371
Flight Distance,-0.0180,0.0180
